Metric,Value
Fulltimeemployees,"86,259"
Auditrisk,4
Boardrisk,6
Compensationrisk,8
Shareholderrightsrisk,6
Overallrisk,7
Governanceepochdate,"1,748,736,000"
Compensationasofepochdate,"1,767,139,200"
Maxage,"86,400"
Pricehint,2
Previousclose,695.6
Open,692.95
Daylow,677.05
Dayhigh,698.4
Regularmarketpreviousclose,695.6
Regularmarketopen,692.95
Regularmarketdaylow,677.05
Regularmarketdayhigh,698.4
Dividendrate,6.0
Dividendyield,0.87
Exdividenddate,"1,748,995,200"
Payoutratio,0.05
Fiveyearavgdividendyield,1.11
Beta,1.15
Trailingpe,10.49
Volume,"8,271,453"
Regularmarketvolume,"8,271,453"
Averagevolume,"13,757,783"
Averagevolume10Days,"6,992,615"
Averagedailyvolume10Day,"6,992,615"
Bid,0.0
Ask,0.0
Bidsize,0
Asksize,0
Marketcap,"2,510,190,018,560"
Fiftytwoweeklow,535.75
Fiftytwoweekhigh,"1,179.0"
Pricetosalestrailing12Months,0.57
Fiftydayaverage,699.48
Twohundreddayaverage,729.28
Trailingannualdividendrate,6.0
Trailingannualdividendyield,0.01
Tradeable,0
Enterprisevalue,"2,719,928,025,088"
Forwardpe,10.18
Profitmargins,6.33%
Floatshares,"1,957,630,821"
Sharesoutstanding,"3,681,710,080"
Heldpercentinsiders,45.44%
Heldpercentinstitutions,24.0%
Impliedsharesoutstanding,"3,682,530,048"
Bookvalue,315.49
Pricetobook,2.16
Lastfiscalyearend,"1,743,379,200"
Nextfiscalyearend,"1,774,915,200"
Mostrecentquarter,"1,743,379,200"
Earningsquarterlygrowth,-0.51
Netincometocommon,"229,590,007,808"
Trailingeps,64.97
Lastsplitdate,"1,315,785,600"
Enterprisetorevenue,0.62
Enterprisetoebitda,5.83
52Weekchange,-0.32
Sandp52Weekchange,0.12
Lastdividendvalue,6.0
Lastdividenddate,"1,748,995,200"
Currentprice,681.8
Targethighprice,"1,300.0"
Targetlowprice,600.0
Targetmeanprice,770.21
Targetmedianprice,740.0
Recommendationmean,2.61
Numberofanalystopinions,29
Totalcash,"674,279,981,056"
Totalcashpershare,183.16
Ebitda,"466,389,991,424"
Totaldebt,"770,700,017,664"
Quickratio,0.59
Currentratio,0.96
Totalrevenue,"4,396,949,962,752"
Debttoequity,61.55
Revenuepershare,"1,245.09"
Returnonassets,0.06
Returnonequity,0.21
Grossprofits,"1,990,139,969,536"
Freecashflow,"276,043,759,616"
Operatingcashflow,"631,019,995,136"
Revenuegrowth,-0.0
Grossmargins,45.26%
Ebitdamargins,10.61%
Operatingmargins,10.74%
Triggerable,1
Regularmarketchange,-13.8
Averagedailyvolume3Month,"13,757,783"
Fiftytwoweeklowchange,146.05
Fiftytwoweeklowchangepercent,27.26%
Fiftytwoweekhighchange,-497.2
Fiftytwoweekhighchangepercent,-42.17%
Fiftytwoweekchangepercent,-3158.59%
Earningstimestamp,"1,747,133,940"
Earningstimestampstart,"1,753,956,000"
Earningstimestampend,"1,753,956,000"
Earningscalltimestampstart,"1,747,141,200"
Earningscalltimestampend,"1,747,141,200"
Isearningsdateestimate,1
Epstrailingtwelvemonths,64.97
Epscurrentyear,53.88
Priceepscurrentyear,12.65
Fiftydayaveragechange,-17.68
Fiftydayaveragechangepercent,-2.53%
Twohundreddayaveragechange,-47.48
Twohundreddayaveragechangepercent,-6.51%
Sourceinterval,15
Exchangedatadelayedby,15
Cryptotradeable,0
Regularmarkettime,"1,752,228,000"
Gmtoffsetmilliseconds,"19,800,000"
Esgpopulated,0
Regularmarketchangepercent,-198.39%
Regularmarketprice,681.8
Hasprepostmarketdata,0
Firsttradedatemilliseconds,"662,787,900,000"
