Metric,Value
Compensationasofepochdate,"1,735,603,200"
Maxage,"86,400"
Pricehint,2
Previousclose,"148,280.0"
Open,"148,280.0"
Daylow,"146,200.0"
Dayhigh,"148,880.0"
Regularmarketpreviousclose,"148,280.0"
Regularmarketopen,"148,280.0"
Regularmarketdaylow,"146,200.0"
Regularmarketdayhigh,"148,880.0"
Dividendrate,12.0
Dividendyield,0.01
Exdividenddate,"1,739,491,200"
Payoutratio,0.05
Fiveyearavgdividendyield,0.16
Beta,0.25
Trailingpe,33.65
Forwardpe,27.96
Volume,"7,148"
Regularmarketvolume,"7,148"
Averagevolume,"9,262"
Averagevolume10Days,"8,089"
Averagedailyvolume10Day,"8,089"
Bid,0.0
Ask,0.0
Bidsize,0
Asksize,0
Marketcap,"628,324,892,672"
Fiftytwoweeklow,"102,124.05"
Fiftytwoweekhigh,"151,900.0"
Pricetosalestrailing12Months,2.23
Fiftydayaverage,"140,585.4"
Twohundreddayaverage,"125,340.34"
Trailingannualdividendrate,235.0
Trailingannualdividendyield,0.0
Tradeable,0
Enterprisevalue,"603,583,873,024"
Profitmargins,6.64%
Floatshares,"2,489,044"
Sharesoutstanding,"4,241,140"
Heldpercentinsiders,47.97%
Heldpercentinstitutions,18.27%
Impliedsharesoutstanding,"4,264,630"
Bookvalue,"43,593.07"
Pricetobook,3.4
Lastfiscalyearend,"1,743,379,200"
Nextfiscalyearend,"1,774,915,200"
Mostrecentquarter,"1,743,379,200"
Earningsquarterlygrowth,0.29
Netincometocommon,"18,692,900,864"
Trailingeps,"4,402.73"
Forwardeps,"5,298.15"
Enterprisetorevenue,2.14
Enterprisetoebitda,16.16
52Weekchange,0.13
Sandp52Weekchange,0.11
Lastdividendvalue,229.0
Lastdividenddate,"1,752,796,800"
Currentprice,"148,150.0"
Targethighprice,"168,426.0"
Targetlowprice,"90,667.0"
Targetmeanprice,"133,654.4"
Targetmedianprice,"132,999.0"
Numberofanalystopinions,10
Totalcash,"37,899,100,160"
Totalcashpershare,"8,936.05"
Ebitda,"37,352,198,144"
Totaldebt,"37,711,601,664"
Quickratio,0.8
Currentratio,1.5
Totalrevenue,"281,531,809,792"
Debttoequity,20.4
Revenuepershare,"66,381.05"
Returnonassets,0.05
Returnonequity,0.11
Grossprofits,"102,270,599,168"
Earningsgrowth,0.29
Revenuegrowth,0.11
Grossmargins,36.33%
Ebitdamargins,13.27%
Operatingmargins,9.13%
Triggerable,1
Hasprepostmarketdata,0
Firsttradedatemilliseconds,"1,025,495,100,000"
Regularmarketchange,-130.0
Averagedailyvolume3Month,"9,262"
Fiftytwoweeklowchange,"46,025.95"
Fiftytwoweeklowchangepercent,45.07%
Fiftytwoweekhighchange,"-3,750.0"
Fiftytwoweekhighchangepercent,-2.47%
Fiftytwoweekchangepercent,1293.46%
Earningstimestamp,"1,746,615,540"
Earningstimestampstart,"1,754,560,800"
Earningstimestampend,"1,754,560,800"
Isearningsdateestimate,1
Gmtoffsetmilliseconds,"19,800,000"
Esgpopulated,0
Regularmarketchangepercent,-8.77%
Regularmarketprice,"148,150.0"
Epstrailingtwelvemonths,"4,402.73"
Epsforward,"5,298.15"
Epscurrentyear,"5,616.65"
Priceepscurrentyear,26.38
Fiftydayaveragechange,"7,564.59"
Fiftydayaveragechangepercent,5.38%
Twohundreddayaveragechange,"22,809.66"
Twohundreddayaveragechangepercent,18.2%
Sourceinterval,15
Exchangedatadelayedby,15
Cryptotradeable,0
Regularmarkettime,"1,752,228,002"
