Metric,Value
Fulltimeemployees,"86,259"
Auditrisk,6
Boardrisk,3
Compensationrisk,8
Shareholderrightsrisk,6
Overallrisk,6
Governanceepochdate,"1,754,006,400"
Compensationasofepochdate,"1,767,139,200"
Maxage,"86,400"
Pricehint,2
Previousclose,648.85
Open,650.05
Daylow,646.0
Dayhigh,656.8
Regularmarketpreviousclose,648.85
Regularmarketopen,650.05
Regularmarketdaylow,646.0
Regularmarketdayhigh,656.8
Dividendrate,6.0
Dividendyield,0.92
Exdividenddate,"1,748,995,200"
Payoutratio,0.05
Fiveyearavgdividendyield,1.11
Beta,1.12
Trailingpe,10.06
Volume,"8,029,308"
Regularmarketvolume,"8,029,308"
Averagevolume,"12,617,318"
Averagevolume10Days,"11,563,308"
Averagedailyvolume10Day,"11,563,308"
Bid,0.0
Ask,0.0
Bidsize,0
Asksize,0
Marketcap,"2,406,365,528,064"
Fiftytwoweeklow,535.75
Fiftytwoweekhigh,"1,142.0"
Pricetosalestrailing12Months,0.55
Fiftydayaverage,692.51
Twohundreddayaverage,711.25
Trailingannualdividendrate,6.0
Trailingannualdividendyield,0.01
Tradeable,0
Enterprisevalue,"2,593,289,666,560"
Forwardpe,9.99
Profitmargins,6.33%
Floatshares,"1,958,808,852"
Sharesoutstanding,"3,681,710,080"
Heldpercentinsiders,44.13%
Heldpercentinstitutions,23.6%
Impliedsharesoutstanding,"3,681,710,080"
Bookvalue,315.49
Pricetobook,2.07
Lastfiscalyearend,"1,743,379,200"
Nextfiscalyearend,"1,774,915,200"
Mostrecentquarter,"1,743,379,200"
Earningsquarterlygrowth,-0.51
Netincometocommon,"229,590,007,808"
Trailingeps,64.95
Lastsplitdate,"1,315,785,600"
Enterprisetorevenue,0.59
Enterprisetoebitda,5.56
52Weekchange,-0.36
Sandp52Weekchange,0.2
Lastdividendvalue,6.0
Lastdividenddate,"1,748,995,200"
Currentprice,653.6
Targethighprice,"1,300.0"
Targetlowprice,600.0
Targetmeanprice,771.19
Targetmedianprice,742.5
Recommendationmean,2.65
Numberofanalystopinions,26
Totalcash,"674,279,981,056"
Totalcashpershare,183.16
Ebitda,"466,389,991,424"
Totaldebt,"770,700,017,664"
Quickratio,0.59
Currentratio,0.96
Totalrevenue,"4,396,949,962,752"
Debttoequity,61.55
Revenuepershare,"1,245.09"
Returnonassets,0.06
Returnonequity,0.21
Grossprofits,"1,990,139,969,536"
Freecashflow,"276,043,759,616"
Operatingcashflow,"631,019,995,136"
Revenuegrowth,-0.0
Grossmargins,45.26%
Ebitdamargins,10.61%
Operatingmargins,10.74%
Triggerable,1
Gmtoffsetmilliseconds,"19,800,000"
Esgpopulated,0
Fiftydayaveragechange,-38.91
Fiftydayaveragechangepercent,-5.62%
Twohundreddayaveragechange,-57.65
Sourceinterval,15
Exchangedatadelayedby,15
Cryptotradeable,0
Regularmarkettime,"1,754,301,601"
Hasprepostmarketdata,0
Firsttradedatemilliseconds,"662,787,900,000"
Regularmarketchange,4.75
Averagedailyvolume3Month,"12,617,318"
Fiftytwoweeklowchange,117.85
Fiftytwoweeklowchangepercent,22.0%
Fiftytwoweekhighchange,-488.4
Fiftytwoweekhighchangepercent,-42.77%
Fiftytwoweekchangepercent,-3616.51%
Earningstimestamp,"1,754,647,200"
Earningstimestampstart,"1,754,647,200"
Earningstimestampend,"1,754,647,200"
Earningscalltimestampstart,"1,754,658,000"
Earningscalltimestampend,"1,754,658,000"
Isearningsdateestimate,0
Epstrailingtwelvemonths,64.95
Epscurrentyear,53.45
Priceepscurrentyear,12.23
Twohundreddayaveragechangepercent,-8.11%
Regularmarketchangepercent,73.21%
Regularmarketprice,653.6
