```csv
Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,Doji,Pattern
2024-05-23 09:15:00,830.0,832.7,829.15,831.5,1234567,nan,nan,nan,False,None
2024-05-23 09:16:00,831.5,831.95,830.6,831.0,543210,nan,nan,nan,False,None
2024-05-23 09:17:00,831.0,831.5,830.5,831.2,456789,nan,nan,nan,False,None
2024-05-23 09:18:00,831.2,832.0,831.0,831.8,398765,nan,nan,nan,False,None
2024-05-23 09:19:00,831.8,832.5,831.6,832.1,412345,nan,nan,nan,False,None
2024-05-23 09:20:00,832.1,832.4,831.5,831.9,345678,nan,nan,nan,False,None
2024-05-23 09:21:00,831.9,832.0,831.1,831.3,312345,nan,nan,nan,False,None
2024-05-23 09:22:00,831.3,831.8,831.0,831.6,298765,nan,nan,nan,False,None
2024-05-23 09:23:00,831.6,832.1,831.5,832.0,301234,nan,nan,nan,False,None
2024-05-23 09:24:00,832.0,832.5,831.8,832.3,334567,nan,nan,nan,False,None
2024-05-23 09:25:00,832.3,832.6,831.9,832.0,310987,nan,nan,nan,False,None
2024-05-23 09:26:00,832.0,832.2,831.5,831.7,287654,nan,nan,nan,False,None
2024-05-23 09:27:00,831.7,832.0,831.4,831.8,290123,nan,nan,nan,False,None
2024-05-23 09:28:00,831.8,832.3,831.7,832.1,305678,54.87,nan,nan,False,None
2024-05-23 09:29:00,832.1,832.4,831.9,832.2,298765,56.23,nan,nan,False,None
2024-05-23 09:30:00,832.2,832.5,832.0,832.4,310123,59.1,nan,nan,False,None
2024-05-23 09:31:00,832.4,832.8,832.2,832.7,345678,63.21,nan,nan,False,None
2024-05-23 09:32:00,832.7,833.0,832.5,832.9,367890,65.87,nan,nan,False,None
2024-05-23 09:33:00,832.9,833.2,832.7,833.0,389012,67.23,nan,nan,False,None
2024-05-23 09:34:00,833.0,833.5,832.9,833.4,412345,71.45,nan,nan,False,None
2024-05-23 09:35:00,833.4,833.8,833.2,833.6,434567,73.56,nan,nan,False,None
2024-05-23 09:36:00,833.6,833.9,833.4,833.8,421098,75.43,nan,nan,False,None
2024-05-23 09:37:00,833.8,834.0,833.5,833.9,401234,76.54,nan,nan,False,None
2024-05-23 09:38:00,833.9,834.2,833.7,834.1,423456,78.21,nan,nan,False,None
2024-05-23 09:39:00,834.1,834.3,833.9,834.0,398765,74.32,nan,nan,False,None
2024-05-23 09:40:00,834.0,834.1,833.6,833.7,354321,68.12,0.45,0.45,False,None
2024-05-23 09:41:00,833.7,833.8,833.3,833.4,321098,62.34,0.4,0.44,False,None
2024-05-23 09:42:00,833.4,833.5,833.0,833.1,301234,57.89,0.35,0.42,False,None
2024-05-23 09:43:00,833.1,833.2,832.8,832.9,287654,54.32,0.3,0.4,False,None
2024-05-23 09:44:00,832.9,833.0,832.5,832.6,290123,50.12,0.25,0.37,False,None
2024-05-23 09:45:00,832.6,834.0,832.5,833.9,512345,65.43,0.31,0.36,False,Bullish Engulfing
2024-05-23 09:46:00,833.9,834.5,833.8,834.4,456789,69.87,0.4,0.37,False,None
2024-05-23 09:47:00,834.4,834.8,834.2,834.7,432109,72.45,0.48,0.39,False,None
2024-05-23 09:48:00,834.7,835.0,834.5,834.9,410987,74.21,0.55,0.42,False,None
2024-05-23 09:49:00,834.9,835.2,834.7,835.1,423456,75.87,0.61,0.46,False,None
2...
... (remaining data would continue here)
...
2024-05-23 15:25:00,837.2,837.5,837.0,837.4,345678,65.43,0.35,0.3,False,None
2024-05-23 15:26:00,837.4,837.8,837.3,837.7,367890,68.21,0.38,0.32,False,None
2024-05-23 15:27:00,837.7,838.0,837.5,837.9,389012,70.12,0.41,0.34,False,None
2024-05-23 15:28:00,837.9,838.2,837.7,838.1,401234,71.89,0.44,0.36,False,None
2024-05-23 15:29:00,838.1,838.3,837.9,838.0,387654,69.54,0.45,0.38,False,None
2024-05-23 15:30:00,838.0,837.8,837.2,837.5,450123,62.34,0.41,0.39,False,None
```
